,SPT,EDD,MST,ST,CR,WSPT,FIFO
0,0.27,0.255,0.17,0.405,0.26,0.19,0.135
1,0.16,0.205,0.125,0.175,0.215,0.23,0.325
2,0.51,0.15,0.36,0.23,0.325,0.38,0.095
3,0.17,0.3,0.2,0.29,0.385,0.125,0.215
4,0.14,0.39,0.52,0.345,0.25,0.17,0.25
5,0.315,0.17,0.17,0.215,0.165,0.185,0.23
6,0.285,0.19,0.245,0.16,0.195,0.345,0.15
7,0.22,0.34,0.25,0.23,0.115,0.18,0.1
8,0.235,0.18,0.41,0.185,0.32,0.165,0.175
9,0.165,0.145,0.205,0.275,0.22,0.265,0.215
10,0.45,0.625,0.2,0.15,0.155,0.25,0.125
11,0.165,0.37,0.185,0.175,0.2,0.275,0.13
12,0.23,0.235,0.175,0.21,0.185,0.265,0.365
13,0.55,0.115,0.165,0.115,0.3,0.15,0.31
14,0.135,0.375,0.325,0.22,0.305,0.11,0.21
15,0.115,0.3,0.165,0.2,0.575,0.245,0.18
16,0.4,0.42,0.29,0.16,0.19,0.22,0.16
17,0.255,0.215,0.475,0.12,0.165,0.4,0.2
18,0.19,0.28,0.29,0.265,0.18,0.145,0.175
19,0.18,0.315,0.145,0.195,0.13,0.255,0.235
20,0.07,0.175,0.23,0.285,0.13,0.275,0.21
21,0.235,0.445,0.145,0.305,0.215,0.495,0.14
22,0.25,0.15,0.13,0.195,0.17,0.135,0.505
23,0.305,0.34,0.125,0.16,0.295,0.445,0.185
24,0.17,0.325,0.43,0.15,0.165,0.215,0.21
25,0.355,0.245,0.19,0.125,0.225,0.22,0.41
26,0.18,0.255,0.165,0.27,0.275,0.24,0.295
27,0.165,0.245,0.305,0.26,0.54,0.255,0.25
28,0.115,0.235,0.315,0.345,0.26,0.21,0.185
29,0.255,0.345,0.225,0.155,0.285,0.59,0.13
